gene_ontology_primary_id	gene_ontology_name	gene_ontology_all_ids	gene
GO:0009631	cold acclimation	GO:0009631	AT1G36160
GO:0009631	cold acclimation	GO:0009631	AT1G76180
GO:0009631	cold acclimation	GO:0009631	AT2G21490
GO:0009631	cold acclimation	GO:0009631	AT3G50980
GO:0009631	cold acclimation	GO:0009631	AT4G04920
GO:0009631	cold acclimation	GO:0009631	AT2G42540
GO:0009631	cold acclimation	GO:0009631	AT1G56070
GO:0009631	cold acclimation	GO:0009631	AT5G67590
GO:0009631	cold acclimation	GO:0009631	AT1G74960
GO:0009631	cold acclimation	GO:0009631	AT4G16420
GO:0009631	cold acclimation	GO:0009631	AT1G29395
GO:0009631	cold acclimation	GO:0009631	AT2G15970
GO:0009631	cold acclimation	GO:0009631	AT2G38170
GO:0009631	cold acclimation	GO:0009631	AT4G29810
GO:0009631	cold acclimation	GO:0009631	AT1G20440
GO:0009631	cold acclimation	GO:0009631	AT1G20450
GO:0009631	cold acclimation	GO:0009631	AT3G50970
GO:0009631	cold acclimation	GO:0009631	AT5G66400
GO:0009631	cold acclimation	GO:0009631	AT4G25470
GO:0009631	cold acclimation	GO:0009631	AT5G59820
GO:0009631	cold acclimation	GO:0009631	AT1G10760
GO:0009631	cold acclimation	GO:0009631	AT4G15910
GO:0009631	cold acclimation	GO:0009631	AT3G26420
GO:0009631	cold acclimation	GO:0009631	AT4G13850
GO:0009631	cold acclimation	GO:0009631	AT4G04800
GO:0009631	cold acclimation	GO:0009631	AT4G25480
GO:0009631	cold acclimation	GO:0009631	AT4G25490
GO:0009631	cold acclimation	GO:0009631	AT1G29390
GO:0009631	cold acclimation	GO:0009631	AT4G36020
GO:0009631	cold acclimation	GO:0009631	AT4G38680
GO:0009631	cold acclimation	GO:0009631	AT2G17870
GO:0009631	cold acclimation	GO:0009631	AT1G43620
GO:0009631	cold acclimation	GO:0009631	AT3G07020
GO:0009631	cold acclimation	GO:0009631	AT5G54590
GO:0009631	cold acclimation	GO:0009631	AT4G12470
GO:0009631	cold acclimation	GO:0009631	AT5G15960
GO:0009631	cold acclimation	GO:0009631	AT1G77490
GO:0009631	cold acclimation	GO:0009631	AT3G53460
GO:0009631	cold acclimation	GO:0009631	AT4G24770
GO:0009631	cold acclimation	GO:0009631	AT1G28520
GO:0009631	cold acclimation	GO:0009631	AT4G08500
GO:0009631	cold acclimation	GO:0009631	AT1G11760
GO:0009631	cold acclimation	GO:0009631	AT3G04740
GO:0009631	cold acclimation	GO:0009631	AT2G42530
GO:0009631	cold acclimation	GO:0009631	AT5G38480
GO:0009631	cold acclimation	GO:0009631	AT3G55580
GO:0009631	cold acclimation	GO:0009631	AT1G19120
GO:0009631	cold acclimation	GO:0009631	AT3G14080
GO:0009631	cold acclimation	GO:0009631	AT5G50950
GO:0018298	protein-chromophore linkage	GO:0018298	AT1G09570
GO:0018298	protein-chromophore linkage	GO:0018298	AT1G15820
GO:0018298	protein-chromophore linkage	GO:0018298	AT1G19150
GO:0018298	protein-chromophore linkage	GO:0018298	AT1G29930
